Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Mb,ENSMUSG00000018893,ENSMUST00000230031.1,4.21515437551277E-07,4.11214314427326E-05,-0.6266861389,-0.9041169847
Ptgr2,ENSMUSG00000072946,ENSMUST00000123614.7,3.10832559883591E-07,3.14231549517433E-05,-0.6268321149,-0.9043275837
Ppp1r3a,ENSMUSG00000042717,ENSMUST00000045096.5,4.96212491780939E-05,0.0023303071,-0.6275790462,-0.9054051778
Trabd2b,ENSMUSG00000070867,ENSMUST00000094894.3,0.0007605615,0.0206399701,-0.6279140418,-0.9058884742
Arhgap24,ENSMUSG00000057315,ENSMUST00000112852.7,2.6899310530466E-05,0.0014011182,-0.6282450013,-0.9063659479
Pfkm,ENSMUSG00000033065,ENSMUST00000051226.7,3.20882541678936E-05,0.0016281715,-0.6298314542,-0.9086547156
Svip,ENSMUSG00000074093,ENSMUST00000098414.4,0.000004168,0.0002878639,-0.6301773582,-0.9091537495
Slc25a3,ENSMUSG00000061904,ENSMUST00000172442.1,1.84613700975366E-06,0.0001450971,-0.6304909563,-0.909606176
Sh3bp5,ENSMUSG00000021892,ENSMUST00000091903.4,6.80757107540017E-07,6.02032491781591E-05,-0.6307306165,-0.9099519326
Ppp1r12b,ENSMUSG00000073557,ENSMUST00000141419.1,0.0020494672,0.0443671538,-0.6311917067,-0.9106171452
Evc2,ENSMUSG00000050248,ENSMUST00000056365.8,3.20759186243681E-06,0.0002315404,-0.6317547865,-0.9114294975
Sacs,ENSMUSG00000048279,ENSMUST00000119943.7,0.0001462719,0.0056270607,-0.6319387698,-0.9116949293
Fyco1,ENSMUSG00000025241,ENSMUST00000167595.8,1.49910141155045E-07,1.67182945419078E-05,-0.6320505422,-0.9118561829
Fastk,ENSMUSG00000028959,ENSMUST00000030800.12,3.81940704116028E-06,0.0002679807,-0.6322598696,-0.9121581785
Tmem159,ENSMUSG00000030917,ENSMUST00000033210.12,1.25254511466248E-05,0.0007396998,-0.6330926148,-0.9133595758
